,Product,Price,Ratings,Warranty,No of Ratings,No of Reviews,Features
0,"APPLE iPhone 11 (White, 64 GB)","₹46,999",4.6,Brand Warranty of 1 Year,"85,171"," 6,433","64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
1,"APPLE iPhone 11 (Purple, 64 GB)","₹46,999",4.6,Brand Warranty of 1 Year,"85,171"," 6,433","64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
2,"APPLE iPhone 11 (White, 128 GB)","₹51,999",4.6,Brand Warranty of 1 Year,"85,171"," 6,433","128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
3,"APPLE iPhone 11 (Green, 64 GB)","₹46,999",4.6,Brand Warranty of 1 Year,"85,171"," 6,433","64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
4,"APPLE iPhone 11 (Purple, 128 GB)","₹51,999",4.6,Brand Warranty of 1 Year,"85,171"," 6,433","128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
5,"APPLE iPhone 11 (Red, 64 GB)","₹46,999",4.6,Brand Warranty of 1 Year,"85,171"," 6,433","64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
6,"APPLE iPhone 11 (Red, 128 GB)","₹51,999",4.6,Brand Warranty of 1 Year,"85,171"," 6,433","128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
7,"APPLE iPhone 11 (Black, 128 GB)","₹51,999",4.6,Brand Warranty of 1 Year,"85,171"," 6,433","128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
8,"APPLE iPhone 11 (Black, 64 GB)","₹46,999",4.6,Brand Warranty of 1 Year,"85,171"," 6,433","64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
9,"APPLE iPhone 11 (Green, 128 GB)","₹51,999",4.6,Brand Warranty of 1 Year,"85,171"," 6,433","128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
10,"APPLE iPhone 11 (Yellow, 64 GB)","₹46,999",4.6,Brand Warranty of 1 Year,"85,171"," 6,433","64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
11,"APPLE iPhone 11 (Yellow, 128 GB)","₹51,999",4.6,Brand Warranty of 1 Year,"85,171"," 6,433","128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
12,"APPLE iPhone 6 (Gold, 32 GB)","₹30,780",4.4,Brand Warranty of 1 Year,"1,45,512"," 16,305","32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera"
13,"Apple iPhone 11 (White, 64 GB) (Includes EarPods, Power Adapter)","₹49,900",4.6,Brand Warranty for 1 Year,"85,171"," 6,433","64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera"
